SF_neighborhoods;latitude;longitude
Seacliff;37.784973;-122.501423
Outer Richmond;37.777818;-122.492410
Golden Gate Park;37.769383;-122.481940
Outer Sunset;37.755419;-122.493805
Parkside;37.742096;-122.489641
Lakeshore;37.721792;-122.485235
Presidio;37.797698;-122.467813
Inner Richmond;37.778980;-122.467280
Inner Sunset;37.759378;-122.464949
West of Twin Peaks;37.738654;-122.460251
Oceanview;37.718235;-122.461896
Presidio Heights;37.786584;-122.452987
Haight-Ashbury;37.768484;-122.445012
Twin-Peaks;37.752771;-122.450770
Outer Mission;37.727949;-122.442405
Crocker Amazon;37.711768;-122.439130
Marina;37.801563;-122.436556
Pacific Heights;37.792482;-122.434757
Western Addition;37.782323;-122.434227
Castro-Upper Market;37.762550;-122.434634
Noe Valley;37.749757;-122.433209
Diamond Heights;37.742405;-122.440752
Glen Park;37.737658;-122.432315
Russian Hill;37.802153;-122.419037
Nob Hill;37.793079;-122.416155
Downtown-Tenderloin;37.782674;-122.415767
Mission;37.760056;-122.415944
Bernal Heights;37.740775;-122.415181
Excelsior;37.726290;-122.421653
Visitacion Valley;37.714879;-122.413070
North Beach;37.803661;-122.407252
Chinatown;37.794167;-122.407229
Financial District;37.791049;-122.399156
South of Market;37.777862;-122.400395
Potrero Hill;37.760133;-122.395350
Bayview;37.733346;-122.385360
Treasure Island;37.821449;-122.368910